EPSPs recorded with voltage sensitive dye JPW1114 from the CA1 field of rat hippocampal slice,,,,,,,,,,,,,,,,,,,,,,
,,LM input,,,,,,,,,,,OR input,,,,,,,,,
,time,"location2,7","3,7","4,7","5,7","6,7","8,7","9,7","10,7","11,7","12,7",,"location2,7","3,7","4,7","5,7","6,7","8,7","9,7","10,7","11,7","12,7"

1,0.25,0.001908534,0.009306368,0.000231948,-0.003031989,0.000328715,0.010406653,0.004462439,-0.003790822,0.00634687,0.014879676,,0.006692255,0.005207193,0.003743399,0.002003853,0.001496047,-0.005048256,0.006563429,0.008906198,0.00529313,0.011030701
2,0.5,0.012002146,0.002927945,0.004628309,-0.001171422,0.00690776,-0.003018883,0.00709296,0.01040913,0.005559423,0.013009222,,0.003119623,0.006662081,0.002656027,0.013730772,0.007605489,0.004314169,-0.000693322,-0.004078362,0.00101422,0.007859731
3,0.75,0.011960589,0.00116634,0.005340212,0.000247362,0.005321851,0.004427765,0.006319176,0.001617464,0.007913262,0.004766627,,0.006624337,-0.001975,0.002583323,0.00242315,-0.001587757,-0.000893574,-0.00401857,-0.004719618,0.003343146,0.011582932
4,1,-0.002026703,0.009576744,0.008908731,0.006656659,0.000489865,0.008155736,0.006224843,-0.006513364,0.002998851,0.001803698,,-0.007099606,0.000600013,0.000355603,-0.000492537,-0.003861656,0.002982613,-0.001129883,0.000648654,0.004117398,0.001096489
5,1.25,0.006886543,-0.001297233,-0.001877615,0.0029121,0.001303346,0.009951456,0.004483312,-0.010490582,0.009080276,0.002595779,,0.002718286,0.001818319,-0.005341236,-1.17354E-05,0.00380662,0.001590819,-0.005655586,0.001608546,0.003985574,0.007622123
6,1.5,0.003622113,0.013147826,0.002464873,0.004167326,-0.002050788,0.006895874,0.007796109,0.000165099,-0.00220281,0.003943304,,-0.004962929,0.006666124,0.004971535,-0.007368303,0.003925056,-0.002461246,-0.005360232,-0.000473337,0.010897767,0.004875505
7,1.75,0.000596214,-0.00383846,0.002452129,0.001881318,0.008632147,0.001563733,0.005238302,-0.000122256,-0.000572311,0.001482099,,0.006073638,0.002490711,0.012465446,0.002501403,0.003208998,-0.00500118,-0.007219039,0.005922613,0.007181111,0.013824023
8,2,0.007428161,-0.000751215,-0.000184418,0.003890644,1.74038E-06,-0.002537817,0.005147431,0.006797594,-0.004736237,0.002053828,,-0.005615552,0.000306254,0.002029066,0.000704327,0.004858435,0.00030443,-0.001309339,-0.003656463,-0.002397939,0.007983069
9,2.25,-0.000642954,0.00399652,0.00613812,-0.00262351,0.00427991,0.001952556,0.003598029,0.000438495,-0.010150678,-0.003023974,,-0.004179464,0.00010092,0.004006022,0.008768233,-0.004442858,-0.006036399,-0.000709659,-0.000384126,0.004346393,0.002207132
10,2.5,0.00839013,0.00116988,0.008516495,0.001096821,0.005078247,0.003190049,0.011475043,0.000212669,0.002473292,-0.001792256,,0.000918886,-0.000396991,-0.000541518,0.001913893,-0.00604928,-0.003326248,0.002241396,0.00420226,-0.001550183,0.006905407
11,2.75,0.00753579,0.001756254,0.004140848,0.006446005,0.005903873,-2.83676E-05,0.002168778,0.00240855,-0.000424091,-0.003376898,,-0.003576648,-0.004970173,0.004023383,-0.000686285,-0.013654471,-0.005555662,-0.011618697,-0.002041803,-0.001977212,-0.003519349
12,3,0.007462094,-0.004096441,0.00175316,0.012624704,0.006496623,-0.000801099,0.001562592,0.001266408,-0.005323836,-0.006182576,,0.011010851,-0.006127276,0.005221181,0.001414703,-0.005817979,0.000102417,-0.006930777,-0.004509505,0.001510764,-8.07386E-05
13,3.25,0.002043463,-0.00342873,0.000910779,-0.001387042,0.001982617,0.000957084,0.004234715,0.002942536,-0.004585154,0.003297148,,0.002352217,0.002766705,0.00136284,0.002504711,0.002424345,0.004337671,-0.001430457,0.006381707,0.003640802,0.002632724
14,3.5,0.000970221,0.003712675,0.003655271,0.002311671,-0.001071682,0.000742424,0.002522362,0.00403213,-0.001054747,0.004293433,,0.001365505,0.002488115,0.004272106,-0.006947038,0.000817647,0.005160565,0.010600344,0.005471855,0.001518672,-0.004344695
15,3.75,-0.004152645,0.005935878,0.003687447,0.002532172,0.0015624,0.003002131,0.009242186,-0.000729313,-0.006220006,0.008052282,,-0.000566052,-0.000864893,-0.000949782,0.004881405,-0.00179443,-0.000977757,-0.002783529,0.00346711,0.006020212,0.000226869
16,4,-0.001827725,0.000582995,0.004784622,-0.003781115,0.000210113,0.003970271,-0.001409365,0.001743082,-0.015704652,0.005565172,,0.002006975,0.000956372,0.004529968,-0.000294165,-0.000635172,-0.006101395,-0.001025407,0.002552304,9.06902E-05,0.000311092
17,4.25,-0.006572609,0.00377976,0.011395905,-0.002673781,0.00132226,-0.001621305,0.004780964,-0.001622829,-0.002380264,0.007007163,,-0.001956805,0.003850136,0.000854966,-0.001487242,0.001043873,-0.000756032,0.003323508,-0.005310623,0.000314908,-0.002758227
18,4.5,0.001047117,0.007656114,0.0117317,-0.00016824,0.003485263,0.011681398,0.006160544,0.003532942,0.000186713,0.0047899,,-0.000627608,-0.004728286,-0.004964438,0.004109164,0.000364492,0.002385935,0.004044558,-0.010744861,-0.003430505,-0.00083287
19,4.75,-0.00088648,0.001677747,0.007255214,-0.003263052,0.006290652,0.001515349,-0.002308987,-0.003055653,-0.000633094,-0.000550343,,-0.001359594,-0.010550327,0.006882231,-0.001135417,0.016668725,0.002143946,0.009596483,0.000499423,-0.009805467,-0.002323069
20,5,0.004386744,-0.000793952,-0.003612751,0.002859493,-0.0010487,0.000335342,-0.008329836,-0.002760555,-0.000957619,0.002088082,,0.003102209,-0.006380232,0.001846333,-0.004861407,-0.004572087,0.000803616,0.014049331,-0.002296072,-0.007023558,0.001366092
21,5.25,-0.004130508,0.007031802,-0.002460623,-0.002873248,0.007094056,0.006164326,0.008953494,-3.5087E-05,0.009297718,0.002373328,,0.002531408,-0.001371075,-0.004965546,0.009033332,0.00233303,0.002464232,0.004709711,-0.003993477,-0.000446188,-0.003709795
22,5.5,-0.00505385,0.004526751,0.003991561,0.00213728,0.000471815,0.005469705,0.004214615,0.010357392,0.006835803,0.001755335,,-0.002617745,-0.005210914,0.00721518,0.003944248,0.007274135,-0.000911768,0.002048045,0.001204816,0.000883154,-0.006086724
23,5.75,0.002576974,0.002291109,0.005043112,-0.005350771,0.003505844,-0.000105275,-0.004129363,0.003723973,0.0058086,-0.00708812,,-0.002065932,0.008227434,0.003860192,0.004591318,0.00234647,0.007373655,-0.000696288,-0.004871733,-0.001404386,0.005131887
24,6,-0.005051697,0.004311655,0.005367356,-0.001871808,0.001246824,-0.003088146,-0.002523359,0.000570466,0.010842145,-0.003481355,,-0.003749318,0.011007841,-0.001312864,0.004582857,0.00701988,0.004421288,-0.008554191,-0.009227802,-0.004096518,0.009330529
