time (msec),-104 mV,-94 mV,-84 mV,-77 mV,-68 mV,-56mV,-43mV,+48mV,+54mV,+61mV,+68mV
0,0.99548,3.25757,6.5481,10.283,12.6854,15.9674,18.1209,21.7703,24.741,27.5725,30.7654
2,1.1133,3.40039,6.64453,10.2317,12.6787,15.8411,18.1636,21.5695,24.8575,27.6793,30.8307
4,1.1218,3.6897,6.63416,10.2659,12.639,15.8331,18.1251,21.4181,24.9949,27.7123,30.8081
6,0.99426,3.92896,6.66284,10.2909,12.6097,15.9082,18.1141,21.4376,24.946,27.6738,30.7825
8,0.92407,3.96375,6.63538,10.2433,12.5408,15.8392,18.2014,21.412,24.8203,27.6525,30.7398
10,0.89722,4.0114,6.69092,10.2195,12.592,15.7752,18.2295,21.3235,24.8093,27.7501,30.6811
12,0.94971,4.0107,6.64697,10.2964,12.705,15.769,18.2112,21.3076,24.8758,27.7587,30.752
14,1.0724,3.97046,6.54199,10.3458,12.6488,15.838,18.1502,21.3888,24.7898,27.6671,30.7123
16,1.0693,3.98816,6.48035,10.2695,12.5457,15.9338,18.2893,21.5011,24.7843,27.6854,30.4828
18,0.99243,4.0791,6.52795,10.1633,12.2631,15.9619,18.462,21.7019,24.8746,27.6238,30.2899
20,1.0339,3.98206,6.61829,10.1798,12.0366,15.9491,18.4968,21.7806,24.8899,27.5029,30.2179
22,1.0461,3.71045,6.67322,10.2994,12.0433,15.8643,18.4748,21.7983,24.91,27.5829,30.1483
24,1.0107,3.4657,6.68481,10.1621,12.1361,15.8862,18.5328,21.8325,24.8649,27.6525,30.1434
26,1.0229,3.2356,6.70801,9.77209,12.0134,15.9143,18.6043,21.885,24.827,27.6421,30.1263
28,0.98389,3.06104,6.62012,9.60364,11.8791,15.8545,18.5951,21.8136,24.7959,27.6848,30.0446
30,0.95398,3.1001,6.58777,9.59143,11.9805,15.8807,18.5041,21.7404,24.8411,27.6268,30.1013
32,0.94971,3.17517,6.61951,9.59448,12.0299,15.9027,18.4547,21.7483,24.9009,27.5713,30.401
34,0.99487,3.11841,6.6781,9.57556,11.9982,15.9405,18.4053,21.7648,24.8783,27.5981,30.5981
36,1.0052,3.15869,6.64331,9.63477,12.0598,15.9076,18.2844,21.777,24.8667,27.5926,30.8142
38,0.96863,3.14587,6.60852,9.70557,12.1453,15.8453,18.1526,21.6952,24.813,27.567,30.8398
40,1.015,3.15076,6.56458,9.66833,12.1361,15.8435,18.1538,21.6622,24.592,27.3998,30.835
42,0.99121,3.20935,6.57495,9.51514,12.0201,15.8374,18.2649,21.8185,24.3906,27.257,30.8405
44,0.94238,3.32654,6.62439,9.50659,12.0616,15.8307,18.2582,21.9168,24.3345,27.3473,30.8447
46,0.92224,3.62134,6.68237,9.59937,12.0867,15.8716,18.1855,21.8697,24.3912,27.481,30.8166
48,0.95947,3.79102,6.67139,9.58105,12.0531,15.8905,18.1373,21.7342,24.4077,27.5933,30.705
50,1.0602,3.73364,6.66101,9.53406,12.0085,15.8344,18.1331,21.6811,24.3815,27.7452,30.6671
52,1.0962,3.40588,6.65063,9.5365,12.0012,15.8521,18.1013,21.7147,24.5151,27.7477,30.7477
54,1.0474,3.22827,6.53162,9.58228,12.1648,15.9186,18.1599,21.8105,24.6867,27.6232,30.7953
56,0.97961,3.16785,6.53711,9.67139,12.3595,15.8905,18.1733,21.9106,24.802,27.6043,30.7745
58,0.98633,3.16479,6.6604,9.68237,12.4517,15.8252,18.2301,21.8636,24.8441,27.6427,30.7916
60,0.89478,3.13672,6.71533,9.66956,12.545,15.8337,18.2454,21.7507,24.8136,27.6445,30.8197
62,0.76965,3.16602,6.67627,9.62622,12.6244,15.8935,18.1984,21.7166,24.8166,27.6299,30.8331
64,0.94116,3.26001,6.6366,9.50537,12.7471,15.8991,18.2826,21.7459,24.8227,27.5725,30.8893
66,1.0144,3.24231,6.59631,9.47058,12.7709,15.8527,18.4364,21.7367,24.8624,27.6476,30.8411
68,1.0114,3.19653,6.56335,9.56885,12.5414,15.7935,18.5072,21.7611,24.9375,27.6403,30.7922
