Time (ms),Light,Current (pA)
0,0,-6.56681
2,0,-6.69841
4,0,-6.66752
6,0,-6.65375
8,0,-6.81807
10,0,-7.01168
12,0,-6.30723
14,0,-5.78809
16,0,-5.74771
18,0,-5.72428
20,0,-6.1141
22,0,-6.01977
24,0,-6.05914
26,0,-6.53873
28,0,-6.16244
30,0,-5.61212
32,0,-6.075
34,0,-6.12402
36,0,-5.78921
38,0,-5.50518
40,0,-5.78296
42,0,-5.77638
44,0,-6.13491
46,0,-5.95069
48,0,-5.92944
50,0,-6.288
52,0,-5.94274
54,0,-5.6131
56,0,-5.56681
58,0,-5.49811
60,0,-5.822
62,0,-5.72339
64,0,-5.87601
66,0,-5.8149
68,0,-5.78842
70,0,-5.54944
72,0,-5.25101
74,0,-5.49097
76,0,-5.12442
78,0,-4.73564
80,0,-4.96617
82,0,-5.38568
84,0,-5.48465
86,0,-5.37402
88,0,-5.50465
90,0,-5.41404
92,0,-5.02688
94,0,-4.6401
96,0,-4.28077
98,0,-4.59283
100,0,-4.50281
102,0,-4.36719
104,0,-4.86892
106,0,-5.23907
108,0,-5.11087
110,0,-5.34115
112,0,-5.31565
114,0,-5.32338
116,0,-5.40589
118,0,-5.13437
120,0,-5.71951
122,0,-5.77793
124,0,-5.50505
126,0,-5.61892
128,0,-5.84064
130,0,-5.76089
132,0,-5.58988
134,0,-5.56256
136,0,-5.48967
138,0,-5.49195
140,0,-6.09288
142,0,-5.93854
144,0,-6.11009
146,0,-5.94169
148,0,-5.87464
150,0,-5.71034
152,0,-5.5299
154,0,-5.79926
156,0,-5.80875
158,0,-5.61864
160,0,-5.49195
162,0,-5.90444
164,0,-5.94189
166,0,-5.94646
168,0,-6.52124
170,0,-6.26796
172,0,-6.18612
174,0,-5.80433
176,0,-5.88007
178,0,-5.55821
180,0,-5.63754
182,0,-5.94785
184,0,-6.37622
186,0,-6.50445
188,0,-6.2632
190,0,-6.0397
192,0,-5.80847
194,0,-5.56057
196,0,-5.53832
198,0,-5.41064
200,1,-5.88999
202,1,-6.557
204,1,-6.55631
206,1,-6.45156
208,1,-8.52253
210,1,-7.41059
212,1,-6.20578
214,1,-5.78061
216,1,-5.42715
218,1,-5.45459
220,1,-5.73289
222,1,-5.96311
224,1,-6.02174
226,1,-6.0998
228,1,-6.3726
230,1,-7.66688
232,1,-7.39077
234,1,-6.59311
236,1,-6.62048
238,1,-7.4329
240,1,-9.77706
242,1,-13.85033
244,1,-12.9743
246,1,-15.49341
248,1,-12.86028
250,1,-15.16082
252,1,-20.0478
254,1,-20.69353
256,1,-18.67941
258,1,-15.27929
260,1,-21.22949
262,1,-29.50081
264,1,-33.77777
266,1,-23.44812
268,1,-15.26251
270,1,-21.37177
272,1,-31.52953
274,1,-28.11968
276,1,-26.79716
278,1,-36.15503
280,1,-30.03017
282,1,-24.39949
284,1,-18.5728
286,1,-13.386
288,1,-19.67265
290,1,-33.56081
292,1,-30.39963
294,1,-21.63173
296,1,-17.57647
298,1,-22.56931
300,1,-26.60324
302,1,-20.33204
304,1,-17.92433
306,1,-17.06628
308,1,-14.48954
310,1,-16.38374
312,1,-16.618
314,1,-16.65087
316,1,-16.46774
318,1,-13.73913
320,1,-23.61683
322,1,-32.45386
324,1,-17.18523
326,1,-12.82372
328,1,-10.13375
330,1,-10.03152
332,1,-11.87342
334,1,-17.75187
336,1,-12.16275
338,1,-8.51092
340,1,-8.25799
342,1,-7.71803
344,1,-8.10147
346,1,-8.20815
348,1,-9.93316
350,1,-10.08418
352,1,-7.75332
354,1,-7.12974
356,1,-6.94228
358,1,-6.98057
360,1,-7.47972
362,1,-7.52345
364,1,-7.39234
366,1,-7.25064
368,1,-7.43435
370,1,-7.07291
372,1,-6.77779
374,1,-6.44393
376,1,-6.12582
378,1,-6.00651
380,1,-5.99092
382,1,-5.88639
384,1,-6.02769
386,1,-6.21052
388,1,-6.4319
390,1,-5.73624
392,1,-5.5577
394,1,-5.32896
396,1,-4.9725
398,1,-5.11394
400,1,-5.44177
402,1,-5.85089
404,1,-5.54065
406,1,-5.66064
408,1,-5.85977
410,1,-5.50065
412,1,-5.10472
414,1,-4.84224
416,1,-4.85969
418,1,-4.40751
420,1,-4.2906
422,1,-4.908
424,1,-4.93176
426,1,-4.86033
428,1,-5.12015
430,1,-5.07309
432,1,-4.85683
434,1,-4.81339
436,1,-4.45529
438,1,-4.29423
440,1,-4.51339
442,1,-4.47256
444,1,-4.77546
446,1,-5.05922
448,1,-4.98073
450,1,-4.95084
452,1,-5.09008
454,1,-4.86637
456,1,-4.749
458,1,-4.56613
460,1,-4.59458
462,1,-4.7584
464,1,-4.32321
466,1,-4.49836
468,1,-4.27875
470,1,-4.34562
472,1,-3.92638
474,1,-3.67555
476,1,-3.97079
478,1,-3.79665
480,1,-3.92375
482,1,-3.66524
