Time (ms),Light,Current (pA)
0,0,-48.88616
4,0,-49.32447
8,0,-48.17329
12,0,-48.01768
16,0,-47.6545
20,0,-47.73124
24,0,-47.95176
28,0,-48.21323
32,0,-47.75587
36,0,-46.92509
40,0,-47.39472
44,0,-46.95284
48,0,-47.31363
52,0,-47.94247
56,0,-47.90369
60,0,-47.7781
64,0,-47.65435
68,0,-48.71702
72,0,-47.87857
76,0,-47.7735
80,0,-47.36587
84,0,-47.64185
88,0,-48.94115
92,0,-50.09118
96,0,-49.14288
100,0,-47.88205
104,0,-47.22633
108,0,-47.69671
112,0,-49.02238
116,0,-48.64087
120,0,-48.03203
124,0,-48.31152
128,0,-47.56998
132,0,-47.32437
136,0,-47.4541
140,0,-46.40498
144,0,-45.96829
148,0,-46.33217
152,0,-46.64005
156,0,-46.86395
160,0,-47.16749
164,0,-46.64751
168,0,-46.34155
172,0,-46.8376
176,0,-47.50672
180,0,-47.19223
184,0,-47.1309
188,0,-47.82928
192,0,-47.57402
196,0,-47.8147
200,1,-48.6174
204,1,-48.90657
208,1,-49.223
212,1,-48.49837
216,1,-47.35278
220,1,-46.44133
224,1,-46.08028
228,1,-46.99201
232,1,-47.18637
236,1,-46.64597
240,1,-47.89782
244,1,-49.06518
248,1,-48.34916
252,1,-48.75742
256,1,-50.70441
260,1,-54.89575
264,1,-63.62617
268,1,-99.66163
272,1,-124.18501
276,1,-139.97737
280,1,-165.32877
284,1,-185.8455
288,1,-189.31575
292,1,-204.52797
296,1,-208.19403
300,1,-204.92331
304,1,-208.26839
308,1,-206.45195
312,1,-208.16718
316,1,-202.77844
320,1,-204.23441
324,1,-200.17822
328,1,-203.26321
332,1,-193.9032
336,1,-197.49736
340,1,-186.0143
344,1,-170.27264
348,1,-162.24783
352,1,-165.87511
356,1,-183.81805
360,1,-188.30403
364,1,-175.57123
368,1,-158.96916
372,1,-136.64401
376,1,-126.32175
380,1,-130.61125
384,1,-140.84044
388,1,-135.4455
392,1,-120.50185
396,1,-110.73617
400,1,-106.18034
404,1,-103.41115
408,1,-111.45156
412,1,-121.72729
416,1,-105.65585
420,1,-94.46329
424,1,-89.85035
428,1,-88.17784
432,1,-87.64256
436,1,-84.31491
440,1,-82.07545
444,1,-80.13383
448,1,-79.56564
452,1,-79.70977
456,1,-77.83825
460,1,-76.39375
464,1,-75.77879
468,1,-75.58191
472,1,-73.87505
476,1,-72.53574
480,1,-71.83896
484,1,-70.41593
488,1,-68.90562
492,1,-66.75401
496,1,-66.59299
500,1,-66.74191
504,1,-67.81477
508,1,-67.4957
512,1,-65.95689
516,1,-65.75214
520,1,-65.23958
524,1,-64.79466
528,1,-66.24277
532,1,-65.34958
536,1,-63.19975
540,1,-62.81272
544,1,-63.76507
548,1,-64.65809
552,1,-63.2972
556,1,-61.67122
560,1,-62.82645
564,1,-61.86566
568,1,-60.6591
572,1,-61.12358
576,1,-61.51435
580,1,-62.01086
584,1,-60.58873
588,1,-60.65077
592,1,-61.04855
596,1,-59.23958
600,1,-58.9303
604,1,-61.72761
608,1,-61.89266
612,1,-61.53607
616,1,-60.54264
620,1,-59.4851
624,1,-58.52645
628,1,-60.04401
632,1,-59.7137
636,1,-60.5495
640,1,-61.29799
644,1,-61.83215
648,1,-61.5239
652,1,-63.01585
656,1,-64.87126
660,1,-65.99962
664,1,-66.95111
668,1,-66.51238
672,1,-66.15857
676,1,-66.94137
680,1,-66.13718
684,1,-64.94389
688,1,-65.51961
692,1,-65.51698
696,1,-64.67858
700,1,-63.76193
704,1,-64.8399
708,1,-65.10976
712,1,-63.76218
